Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
White Collar GIRL,"Did you hear about the quizminded steno? She accosted her boss with, ""I'm going to get a raise. True or false?""",177026414,Historical Newspapers," RUTH MAC KAY
RUTH MAC KAY"," Copyright Tribune Publishing Company Sep 25, 1945"," 478376672 , 6111482 , 53854", article," Sep 25, 1945",, English, English, 17," Chicago, Ill.","Sep 25, 1945",Chicago Daily Tribune (1923-1963),1945,http://search.proquest.com/docview/177026414?accountid=14496, 17,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=White+Collar+GIRL%3A+Romance+in+the+Office+Quiz+Kid&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1945-09-25&amp;volume=&amp;issue=&amp;spage=17&amp;au=RUTH+MAC+KAY&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
GAS BLAST WRECKS HOME,"Ninety-one families living in the six-story furnished apartment building at 414 West 120th Street, north of Columbia University grounds, were startled about 8 o'clock last night when an explosion in Apartment 509 blew out windows there, sent the Venetian ...",107254359,Historical Newspapers,," Copyright New York Times Company Dec 21, 1945"," 305196802-1 , 2294562 , 43896", article," Dec 21, 1945",0362-4331, English, English,," New York, N.Y.","Dec 21, 1945",New York Times (1923-Current file),1945,http://search.proquest.com/docview/107254359?accountid=14496, 23,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=GAS+BLAST+WRECKS+HOME%3A+TENANT+FOUND+DEAD+IN+KITCHEN+NEAR+COLUMBIA+UNIVERSITY&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1945-12-21&amp;volume=&amp;issue=&amp;spage=23&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
Use of Parks Granted for Housing Veterans,"By unanimous vote the Los Angeles Park Commission yesterday granted three years' use of space in Griffith Park and Bannig Park for location of housing units for veterans and their families, totaling more than 5000 persons.",165628668,Historical Newspapers,," Copyright Times Mirror Company Jan 18, 1946"," 414840281 , 5723652 , 53850", article," Jan 18, 1946",0458-3035, English, English,," Los Angeles, Calif.","Jan 18, 1946",Los Angeles Times (1923-Current File),1946,http://search.proquest.com/docview/165628668?accountid=14496, A12,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=Use+of+Parks+Granted+for+Housing+Veterans%3A+Board+Approves+Three+Years%27+Tenancy+for+5000+in+Griffith+and+Banning+Tracts&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1946-01-18&amp;volume=&amp;issue=&amp;spage=A12&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
8th National Trailer Show Opens Today,"The eighth National Trailer Coach show will open in the Coliseum at 1 p. m. today, with more than 100 trailers, costing from $2,600 to $15,000, on display. The show, the first to be held since 1941, will extend thru March 24 and will be open daily from 1 p. m. to midnight.",177186676,Historical Newspapers," Hampson, Philip
Philip
Philip Hampson
Hampson
PHILIP HAMPSON"," Copyright Tribune Publishing Company Mar 16, 1946"," 462989622 , 6035852 , 53854", article," Mar 16, 1946",, English, English,," Chicago, Ill.","Mar 16, 1946",Chicago Daily Tribune (1923-1963),1946,http://search.proquest.com/docview/177186676?accountid=14496, 21,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=8th+National+Trailer+Show+Opens+Today&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1946-03-16&amp;volume=&amp;issue=&amp;spage=21&amp;au=Hampson%2C+Philip&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
"RADCLIFFE GETS $125,000",,108019766,Historical Newspapers,," Copyright New York Times Company Dec 14, 1947"," 87565460-1 , 1509256 , 43896", article," Dec 14, 1947",0362-4331, English, English, 54," New York, N.Y.","Dec 14, 1947",New York Times (1923-Current file),1947,http://search.proquest.com/docview/108019766?accountid=14496, 54,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=RADCLIFFE+GETS+%24125%2C000%3A+GIFT+WILL+MAKE+EARLY+BUILDING+OF+NEW+DORMITORY+POSSIBLE&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1947-12-14&amp;volume=&amp;issue=&amp;spage=54&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
PREFAB HOUSE COSTS SOAR IN BRITAIN,"Prefabricated aluminum bungalows today are costing the British taxpayer $6,440 each, which is $840 more than the Laborite' government permits a private citizen to spend for a new permanent house, according to...",177523392,Historical Newspapers," Veysey, Arthur
Arthur
Arthur Veysey
Veysey
ARTHUR VEYSEY"," Copyright Tribune Publishing Company Dec 18, 1947"," 474574912 , 6084482 , 53854", article," Dec 18, 1947",, English, English,," Chicago, Ill.","Dec 18, 1947",Chicago Daily Tribune (1923-1963),1947,http://search.proquest.com/docview/177523392?accountid=14496, 21,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=PREFAB+HOUSE+COSTS+SOAR+IN+BRITAIN%3A+TOP+PERMANENT+HOME+FIGURES&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1947-12-18&amp;volume=&amp;issue=&amp;spage=21&amp;au=Veysey%2C+Arthur&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
APARTMENTS TO RISE ON EAST 79TH STREET,,107742875,Historical Newspapers,," Copyright New York Times Company Dec 21, 1947"," 104396387 , 1590765 , 43896", article," Dec 21, 1947",0362-4331, English, English, R1," New York, N.Y.","Dec 21, 1947",New York Times (1923-Current file),1947,http://search.proquest.com/docview/107742875?accountid=14496, R1,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=APARTMENTS+TO+RISE+ON+EAST+79TH+STREET&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1947-12-21&amp;volume=&amp;issue=&amp;spage=R1&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
' FUND-RAISING' PARTY IN APARTMENT RAIDED,"Four plainclothes patrolmen raided a cocktail party yesterday afternoon in an East Side apartment, given to raise funds for activities of the New York Advertising Chapter, American Veterans Committee, and arrested a woman and two men on charges of selling liquor without a license.",108334696,Historical Newspapers,," Copyright New York Times Company Feb 2, 1948"," 93790493-1 , 1539419 , 43896", article," Feb 2, 1948",0362-4331, English, English,," New York, N.Y.","Feb 2, 1948",New York Times (1923-Current file),1948,http://search.proquest.com/docview/108334696?accountid=14496, 21,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=%27+FUND-RAISING%27+PARTY+IN+APARTMENT+RAIDED&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1948-02-02&amp;volume=&amp;issue=&amp;spage=21&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
SIMPLE DOWN UNDER,"""YOU KNOW, I was down under in Harlem the other night,"" said Simple, ""way down on Lenox Avenue and it was so cold I went into a barbecue place thinking I might maybe take an order of spare ribs and cole slaw to Joyce if I had enough change, and at the same time get warm. Man...",492816407,Historical Newspapers," Hughes, Langston
Langston
Langston Hughes
Hughes
Langston Hughes"," Copyright Real Times, Inc. Feb 28, 1948"," 742079992 , 7291872 , 68419", article," Feb 28, 1948",, English, English, 14," Chicago, Ill.","Feb 28, 1948",The Chicago Defender (National edition) (1921-1967),1948,http://search.proquest.com/docview/492816407?accountid=14496, 14,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagodefender&amp;atitle=SIMPLE+DOWN+UNDER&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;issn=&amp;date=1948-02-28&amp;volume=&amp;issue=&amp;spage=14&amp;au=Hughes%2C+Langston&amp;isbn=&amp;jtitle=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Defender
HOLD JUBILEE OVER SCHOOL WINGS TODAY,"Park Ridge residents will gather in the gymnasium of Lincoln school at 3 p.m. today to take part in the program celebrating the completion and dedication of additions to two schools costing an aggregate of $763,560.",177559032,Historical Newspapers,," Copyright Tribune Publishing Company Mar 7, 1948"," 483538542 , 6120982 , 53854", article," Mar 7, 1948",, English, English,," Chicago, Ill.","Mar 7, 1948",Chicago Daily Tribune (1923-1963),1948,http://search.proquest.com/docview/177559032?accountid=14496, NW1,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=HOLD+JUBILEE+OVER+SCHOOL+WINGS+TODAY%3A+PARK+RIDGE+FETES+NEW+ADDITIONS&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1948-03-07&amp;volume=&amp;issue=&amp;spage=NW1&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
Seven Point Hotel Sold By Trust Co. Of Chicago,,177514617,Historical Newspapers,," Copyright Tribune Publishing Company Apr 11, 1948"," 483708522 , 6121332 , 53854", article," Apr 11, 1948",, English, English, nwA," Chicago, Ill.","Apr 11, 1948",Chicago Daily Tribune (1923-1963),1948,http://search.proquest.com/docview/177514617?accountid=14496, NWA,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=Seven+Point+Hotel+Sold+By+Trust+Co.+Of+Chicago&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1948-04-11&amp;volume=&amp;issue=&amp;spage=NWA&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
Two Manhattan Apartment Alteration Jobs iCompleted in Time for Summer Occupancy,,108116692,Historical Newspapers,," Copyright New York Times Company Jul 11, 1948"," 96429314 , 1551088 , 43896", real_estate_transaction," Jul 11, 1948",0362-4331, English, English,," New York, N.Y.","Jul 11, 1948",New York Times (1923-Current file),1948,http://search.proquest.com/docview/108116692?accountid=14496, R1,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=Two+Manhattan+Apartment+Alteration+Jobs+iCompleted+in+Time+for+Summer+Occupancy&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1948-07-11&amp;volume=&amp;issue=&amp;spage=R1&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
Urges Citizens To Help Solve Housing Crisis,"With the theme ""Let's Do Something About Housing,"" Journee W. White, housing consultant and investment broker, this week announced a plan for a major housing development.",492716575,Historical Newspapers,," Copyright Real Times, Inc. Jul 17, 1948"," 742155732 , 7292042 , 68419", article," Jul 17, 1948",, English, English, 2," Chicago, Ill.","Jul 17, 1948",The Chicago Defender (National edition) (1921-1967),1948,http://search.proquest.com/docview/492716575?accountid=14496, 2,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagodefender&amp;atitle=Urges+Citizens+To+Help+Solve+Housing+Crisis&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;issn=&amp;date=1948-07-17&amp;volume=&amp;issue=&amp;spage=2&amp;au=&amp;isbn=&amp;jtitle=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Defender
"RAJAH CALLS HIS $10,000,000 SPREE A RUMOR","The maharajah of Baroda said today be would fly to India to face charges that he financed an almost $10,000,000 six week spending spree by dipping into the state treasury.",177497099,Historical Newspapers,," Copyright Tribune Publishing Company Aug 12, 1948"," 488350182 , 6127392 , 53854", article," Aug 12, 1948",, English, English, 4," Chicago, Ill.","Aug 12, 1948",Chicago Daily Tribune (1923-1963),1948,http://search.proquest.com/docview/177497099?accountid=14496, 4,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=RAJAH+CALLS+HIS+%2410%2C000%2C000+SPREE+A+RUMOR%3A+SAYS+HE%27LL+FLY+HOME+TO+ANSWER+CHARGES&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1948-08-12&amp;volume=&amp;issue=&amp;spage=4&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
